Jogador,Data do Jogo,Adversário,Vitória/Derrota,Casa/Fora,Pontos,Rebotes,Assistências,Placar do Jogo,Tentativas de 3 PTS,Cestas de 3 PTS,Tempo de Permanência do Jogador em Quadra,Minutos
Clint Capela,2024-12-11T00:00:00,NYK,W,Away,-0.6889523325068367,1.3754574580311023,-0.9735779840261698,OFFLINE,-1.0262469201647233,-0.8446073469411779,24:49,-0.8441685803907522
Clint Capela,2024-12-08T00:00:00,DEN,L,Home,-0.9060767039635368,0.679700767198249,-0.9735779840261698,OFFLINE,-1.0262469201647233,-0.8446073469411779,19:01,-1.6076058620331168
Clint Capela,2024-12-06T00:00:00,LAL,W,Home,-1.4488876326052869,-0.7118126144674576,-0.783254468351881,OFFLINE,-1.0262469201647233,-0.8446073469411779,23:55,-0.962632986162843
Clint Capela,2024-12-04T00:00:00,MIL,W,Away,-1.0146388896918868,2.30313304580824,-0.9735779840261698,OFFLINE,-1.0262469201647233,-0.8446073469411779,23:41,-0.9933459802519038
Clint Capela,2024-12-02T00:00:00,NOP,W,Home,-0.9060767039635368,2.30313304580824,-0.783254468351881,OFFLINE,-1.0262469201647233,-0.8446073469411779,28:46,-0.32424146616879707
Clint Capela,2024-11-30T00:00:00,CHA,W,Away,-1.4488876326052869,1.6073763549753868,-0.9735779840261698,OFFLINE,-1.0262469201647233,-0.8446073469411779,19:57,-1.484753885676874
Clint Capela,2024-11-29T00:00:00,CLE,W,Home,-1.0146388896918868,1.3754574580311023,-0.9735779840261698,OFFLINE,-1.0262469201647233,-0.8446073469411779,25:27,-0.7608047392918733
Clint Capela,2024-11-27T00:00:00,CLE,W,Away,-1.6660120040619868,0.44778187025396465,-0.5929309526775921,OFFLINE,-1.0262469201647233,-0.8446073469411779,18:32,-1.6712256355033135
Clint Capela,2024-11-25T00:00:00,DAL,L,Home,-0.5803901467784867,-0.4798937175231731,-0.9735779840261698,OFFLINE,-1.0262469201647233,-0.8446073469411779,22:23,-1.164461233033813
Clint Capela,2024-11-22T00:00:00,CHI,L,Away,0.39666952477666345,0.9116196641425335,-0.5929309526775921,OFFLINE,-1.0262469201647233,-0.8446073469411779,26:41,-0.5984646276782669
Clint Capela,2024-11-20T00:00:00,GSW,L,Away,-0.6889523325068367,0.679700767198249,-0.9735779840261698,OFFLINE,-1.0262469201647233,-0.8446073469411779,22:24,-1.1622674477417374
Clint Capela,2024-11-18T00:00:00,SAC,W,Away,-0.36326577532178667,1.6073763549753868,-0.9735779840261698,OFFLINE,-1.0262469201647233,-0.8446073469411779,28:28,-0.36372960142616084
Clint Capela,2024-11-17T00:00:00,POR,L,Away,-1.0146388896918868,0.21586297330968018,-0.5929309526775921,OFFLINE,-1.0262469201647233,-0.8446073469411779,19:55,-1.4891414562610255
Clint Capela,2024-11-15T00:00:00,WAS,W,Home,-0.7975145182351867,1.3754574580311023,-0.9735779840261698,OFFLINE,-1.0262469201647233,-0.8446073469411779,22:03,-1.2083369388753282
Clint Capela,2024-11-12T00:00:00,BOS,W,Away,0.07098296759161342,0.44778187025396465,-0.9735779840261698,OFFLINE,-1.0262469201647233,-0.8446073469411779,16:52,-1.8906041647108895
Clint Capela,2024-11-09T00:00:00,CHI,L,Home,0.2881073390483134,0.44778187025396465,-0.9735779840261698,OFFLINE,-1.0262469201647233,-0.8446073469411779,25:35,-0.7432544569552673
Clint Capela,2024-11-08T00:00:00,DET,L,Away,-1.1232010754202368,1.1435385610868178,-0.783254468351881,OFFLINE,-1.0262469201647233,-0.8446073469411779,18:40,-1.6536753531667074
Clint Capela,2024-11-06T00:00:00,NYK,W,Home,0.07098296759161342,-0.2479748205788887,-0.9735779840261698,OFFLINE,-1.0262469201647233,-0.8446073469411779,27:52,-0.4427058719408879
Clint Capela,2024-11-04T00:00:00,BOS,L,Home,-1.6660120040619868,-0.4798937175231731,-0.9735779840261698,OFFLINE,-1.0262469201647233,-0.8446073469411779,16:47,-1.9015730911712683
Clint Capela,2024-11-03T00:00:00,NOP,W,Away,-1.0146388896918868,-0.7118126144674576,-1.1639014997004586,OFFLINE,-1.0262469201647233,-0.8446073469411779,20:39,-1.3926149034096924
Clint Capela,2024-11-01T00:00:00,SAC,L,Home,-0.25470358959343664,0.679700767198249,-0.9735779840261698,OFFLINE,-1.0262469201647233,-0.8446073469411779,28:48,-0.31985389558464533
Clint Capela,2024-10-30T00:00:00,WAS,L,Away,-0.5803901467784867,-0.4798937175231731,-1.1639014997004586,OFFLINE,-1.0262469201647233,-0.8446073469411779,23:53,-0.9670205567469947
Clint Capela,2024-10-28T00:00:00,WAS,L,Home,-0.14614140386508662,-0.7118126144674576,-0.783254468351881,OFFLINE,-1.0262469201647233,-0.8446073469411779,24:53,-0.8353934392224491
Clint Capela,2024-10-27T00:00:00,OKC,L,Away,-1.231763261148587,0.679700767198249,-0.783254468351881,OFFLINE,-1.0262469201647233,-0.8446073469411779,21:35,-1.2697629270534496
Clint Capela,2024-10-25T00:00:00,CHA,W,Home,-1.231763261148587,-0.01605592363460425,-0.9735779840261698,OFFLINE,-1.0262469201647233,-0.8446073469411779,21:33,-1.274150497637601
Clint Capela,2024-10-23T00:00:00,BKN,W,Home,-1.231763261148587,-0.01605592363460425,-0.9735779840261698,OFFLINE,-1.0262469201647233,-0.8446073469411779,19:31,-1.541792303270844
Trae Young,2025-02-08T00:00:00,WAS,W,Away,1.9165401249735639,-1.1756504083560264,1.5006277197395852,OFFLINE,2.2620794789546372,2.060126915025836,34:58,0.4918466624833861
Trae Young,2025-02-07T00:00:00,MIL,W,Home,0.7223560819617135,-0.943731511411742,0.1683631100195633,OFFLINE,0.8527967364749112,0.3172863578456277,34:55,0.4852653066071582
