Jogador,Data do Jogo,Adversário,Vitória/Derrota,Casa/Fora,Pontos,Rebotes,Assistências,Tentativas de 3 PTS,Cestas de 3 PTS,Tempo de Permanência do Jogador em Quadra
Jalen Johnson,2025-01-18T00:00:00,BOS,W,Away,14,13,3,2,0,37:41
Jalen Johnson,2025-01-03T00:00:00,LAL,L,Away,19,8,1,3,1,32:59
Jalen Johnson,2024-12-29T00:00:00,TOR,W,Away,15,4,3,5,1,33:04
Jalen Johnson,2024-12-28T00:00:00,MIA,W,Home,28,13,5,3,2,35:19
Jalen Johnson,2024-12-26T00:00:00,CHI,W,Home,30,15,4,2,0,39:03
Jalen Johnson,2024-12-23T00:00:00,MIN,W,Home,17,11,7,3,0,35:00
Jalen Johnson,2024-12-21T00:00:00,MEM,L,Home,13,11,8,3,1,33:01
Jalen Johnson,2024-12-19T00:00:00,SAS,L,Away,22,9,3,1,1,38:44
Jalen Johnson,2024-12-14T00:00:00,MIL,L,Away,15,10,4,4,0,39:07
Jalen Johnson,2024-12-11T00:00:00,NYK,W,Away,21,15,7,5,1,41:11
Jalen Johnson,2024-12-06T00:00:00,LAL,W,Home,12,10,7,4,1,34:40
Jalen Johnson,2024-12-04T00:00:00,MIL,W,Away,23,13,5,2,0,40:11
Jalen Johnson,2024-12-02T00:00:00,NOP,W,Home,19,7,5,4,1,31:41
Jalen Johnson,2024-11-30T00:00:00,CHA,W,Away,20,3,9,6,4,38:24
Jalen Johnson,2024-11-29T00:00:00,CLE,W,Home,20,9,7,4,2,34:58
Jalen Johnson,2024-11-27T00:00:00,CLE,W,Away,22,9,7,4,2,34:51
Jalen Johnson,2024-11-25T00:00:00,DAL,L,Home,28,11,3,6,2,37:00
Jalen Johnson,2024-11-22T00:00:00,CHI,L,Away,25,13,5,5,2,36:45
Jalen Johnson,2024-11-20T00:00:00,GSW,L,Away,15,14,4,5,3,34:59
Jalen Johnson,2024-11-17T00:00:00,POR,L,Away,25,4,4,2,1,37:13
Jalen Johnson,2024-11-15T00:00:00,WAS,W,Home,18,13,7,5,1,34:52
Jalen Johnson,2024-11-12T00:00:00,BOS,W,Away,18,12,10,4,2,38:50
Jalen Johnson,2024-11-09T00:00:00,CHI,L,Home,20,6,5,6,3,34:07
Jalen Johnson,2024-11-08T00:00:00,DET,L,Away,20,9,1,6,2,37:10
Jalen Johnson,2024-11-06T00:00:00,NYK,W,Home,23,15,7,6,3,39:15
Jalen Johnson,2024-11-04T00:00:00,BOS,L,Home,20,11,4,7,2,30:35
Jalen Johnson,2024-11-03T00:00:00,NOP,W,Away,29,9,8,4,0,37:54
Jalen Johnson,2024-11-01T00:00:00,SAC,L,Home,14,5,9,6,2,36:00
Jalen Johnson,2024-10-30T00:00:00,WAS,L,Away,21,17,4,5,1,40:20
Jalen Johnson,2024-10-28T00:00:00,WAS,L,Home,29,12,7,3,1,38:48
Jalen Johnson,2024-10-27T00:00:00,OKC,L,Away,7,9,2,3,1,29:12
Jalen Johnson,2024-10-25T00:00:00,CHA,W,Home,16,7,3,4,1,41:10
Jalen Johnson,2024-10-23T00:00:00,BKN,W,Home,11,10,4,3,0,36:51
